categories,deal_features,merchant,mini_info,promotion_title,rel_location,state,total_ratings,url
"Local,Food & Drink,Cafes & Treats,Ice Cream","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 25% cash back on your first purchase and 20% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Unico,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 25% Cash Back,20% Cash Back After That",25% Cash Back at Unico,SoHo,New York,2 Ratings,https://www.groupon.com/deals/unico
"Local,Food & Drink,Restaurants","What You'll Get,Choose from Three Options,$9 for $15 worth of soul food,$19 for $30 worth of soul food,$35 for seafood combo with dessert and drinks for two ($52.50 value),Seafood combo includes the following:,3 fried whitings,2 fried lobster tails,5 fried shrimp,Fried calamari and french fries,Choice of banana pudding or sweet potato pie,2 drinks,See the,menu",Paula’s Soul Cafe,"Limited Time Remaining!,150+ viewed today,1,501 Ratings",Soul Food or Seafood Dinner and Dessert for Two at Paula's Soul Cafe (Up to 40% Off). Three Options Available.,Wakefield,New York,"1,501 Ratings",https://www.groupon.com/deals/paula-s-soul-cafe
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose Between Two Options,$49 for one hydration facial ($150 value),$85 for two hydration facials ($300 value)",Dr. Douglass Senderoff,"Limited Time Remaining!,40+ viewed today,183 Ratings",One or Two Hydration Facials from Dr. Douglass Senderoff (Up to 72% Off),"Douglas Senderoff, MD, FACS",New York,183 Ratings,https://www.groupon.com/deals/dr-douglass-senderoff-1
"Local,Personal Services,Photography,Photographers","What You'll Get,30-Minute Family Outdoor Photography Session for Three
    - 1 re-touched digital image with matching 4x6 print
    - 15 day access to preview online gallery
    - Up to 2 wardrobe changes
    - Photo shoots take place in The Highline Park.",Erwin List Photography,"Limited Time Remaining!,50+ viewed today,64 Ratings",$29 for 30-Minute Family Outdoor Photography Session for Three at Erwin List Photography ($100 Value),New York,New York,64 Ratings,https://www.groupon.com/deals/erwin-list-photography-4
"Local,Beauty & Spas,Hair & Styling,Hair Straightening","What You'll Get,The Deal,$99 for Brazilian keratin treatment ($250 value),$129 for Brazilian keratin treatment with haircut ($295 value),Choose from Four Locations:,121 Spruce St., Cedarhurst,432 3rd Ave., New York,52 Kenmare St., New York,218 Madison Ave. #2F, New York,Some hair-straightening products that claim to be formaldehyde-free include aldehyde compounds, which are similar to the carcinogen formaldehyde. Side effects may include nosebleeds, headaches, vomiting, and respiratory problems, among others. Learn more about the health risks,here",Hair Bar NYC,"Limited Time Remaining!,80+ viewed today,1,465 Ratings",Brazilian Keratin Treatment with Optional Haircut at Hair Bar NYC (Up to 60% Off). Four Locations Available.,Multiple Locations,New York,"1,465 Ratings",https://www.groupon.com/deals/hair-bar-nyc-1
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose From Four Options,$28 for Hydrating Facial,$81 for 3 Hydrating Facials,$80 for Microdermabrasion Facial,$235 for 3 Microdermabrasion Facials",Pro Skincare & Day Spa Inc,"Limited Time Remaining!,40+ viewed today,703 Ratings",Up to 72% Off Facials at Pro Skincare & Day Spa Inc,New York,New York,703 Ratings,https://www.groupon.com/deals/pro-skincare-day-spa-inc-3
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose Between Two Options,$15 for one regular bikini wax (a $35 value),$39 for three vouchers, each good for one regular bikini wax (a $105),Waxing services are for women only.",Dyanna Spa and Waxing Center Downtown,"Limited Time Remaining!,Up to 63% Off,115 Ratings",One or Three Bikini Waxes at Dyanna Spa and Waxing Center Downtown (Up to 63% Off),Flatiron District,New York,115 Ratings,https://www.groupon.com/deals/dyanna-body-and-nail-spa
"Local,Food & Drink,Restaurants,Mexican Restaurants","What You'll Get,Choice of:,$30 Value Towards Food for Two or More People,$60 Value Towards Food for Four or More People",Fresco's Cantina,"Limited Time Remaining!,40+ viewed today,54 Ratings",$15 for $30 or $30 for $60 Towards Food at Fresco's Cantina,Astoria,New York,54 Ratings,https://www.groupon.com/deals/fresco-s-cantina
"Local,Beauty & Spas,Face & Skin Care,Facial Peel","What You'll Get,Choice of:,European Deep Pore Facial,One Chemical Peel (glycolic, lactic, TCA or Jessner),Three Chemical Peels (glycolic, lactic, TCA or Jessner),European deep pore cleanse is for all skin types with clogged pores and/or blemishes, blackheads. The treatment includes exfoliation, manual pore cleansing extractions, high frequency and a mask. The skin will get clear, smooth, fresh and bright.,Chemical peels invigorate skin, making it brighter, tighter, and healthier. This treatment helps in minimizing the pores, fine lines, and makes the skin smoother and even.,A series of light, medium or deep chemical peels improve unevenly pigmented and wrinkled skin, providing radiant appearance and a healthy youthful look.",AcneClinicNYC,"Limited Time Remaining!,70+ viewed today,37 Ratings",One or Three Chemical Peels or a European Deep Pore Cleanse at AcneClinicNYC (Up to 53% Off),Midtown East,New York,37 Ratings,https://www.groupon.com/deals/acneclinicnyc-1
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose from Two Options,$39 for one women’s Brazilian wax, which includes hair removal in the front and back ($60 value),$99 for three women’s Brazilian waxes, which include hair removal in the front and back ($180 value),See the,full menu,of waxing services, which combine soft strip waxes and hard waxes and are never double-dipped, insuring a bacteria-free visit.,This offer is valid at all seven Manhattan Skin Spa New York locations, each of which is open seven days a week:,Midtown: 44th St. between Madison and Fifth Ave.,Flatiron/Chelsea: 21st St. between Fifth and Sixth Ave.,SoHo: Broadway between Spring and Broome,Upper East Side: 60th St. at Park Ave.,Midtown East/Murray Hill: Lexington Ave. at 40th St.,Fashion District: 37th St. at Eighth Ave.,Midtown West: 57th St. between Sixth and Seventh Ave.,Click here to book appointments online,View Skin Spa New York’s other offers:,Corrective Facials,Swedish or Deep-Tissue Massages,Organic Spray Tans,Anti-Aging Laser Facials,Swedish Massage with Customized Facials,Customized Facial, Microdermabrasion, or Power Peel,Laser Hair Removal",Skin Spa New York,"Limited Time Remaining!,30+ viewed today,4,661 Ratings",One or Three Women's Brazilian Waxes at Skin Spa New York (Up to 45% Off),Multiple Locations,New York,"4,661 Ratings",https://www.groupon.com/deals/the-skin-spa-35-westchester-county
"Local,Automotive,Parking","What You'll Get,Choice of:,Early Bird Pricing: 12 hours of parking,12 hours of parking,Early Bird Pricing: 24 hours of parking,24 hours of parking",One Parking,"Limited Time Remaining!,50+ viewed today,28 Ratings",Parking in Midtown Manhattan (Up to 47% Off),Midtown Manhattan,New York,28 Ratings,https://www.groupon.com/deals/one-park-136-west-40th-street
"Local,Beauty & Spas,Spas","What You'll Get,Choose Between Two Options,$79 for a 60-minute float therapy session for one ($150 value),$159 for a 60-minute float therapy session for two ($300 value),For an additional $50 clients can add a 30 minute acupuncture session that balances the mind and body, and prepares the client for the float afterwards.",Floating Lotus,"Limited Time Remaining!,150+ viewed today,805 Ratings",60-Minute Float Therapy Session for One or Two at Floating Lotus (47% Off),Midtown East,New York,805 Ratings,https://www.groupon.com/deals/floating-lotus-3
"Local,Food & Drink,Groceries & Markets","What You'll Get,The Deal,$22 for $30 worth of fresh meats",Dickson's Farmstand Meats,"Limited Time Remaining!,50+ viewed today,816 Ratings","$22 for $30 Worth of Humanely Raised, Hormone-Free Local Meat at Dickson's Farmstand Meats",Chelsea Market,New York,816 Ratings,https://www.groupon.com/deals/dickson-s-farmstand-meats
"Local,Beauty & Spas,Blowouts & Styling,Blowouts","What You'll Get,Choice of:,One Hot Towel, Deep Conditioning Treatment, and Blowout,Three Hot Towels, Deep Conditioning Treatments, and Blowouts",Bon-Bon Salon and Spa,"Limited Time Remaining!,40+ viewed today,16 Ratings","One or Three Hot Towels, Deep Conditioning Treatments, and Blowouts at Bon-Bon Salon and Spa (Up to 64% Off)",Midtown Manhattan,New York,16 Ratings,https://www.groupon.com/deals/bon-bon-hair-salon-spa-3rd-ave-2
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose Between Two Options,$45 for one mini facial with a,microdermabrasion,treatment or G.M. glycolic peel ($110 value),$109 for three mini facials with microdermabrasion treatments or G.M. glycolic peels ($330 value)",Confidence Beauty Salon & Spa,"Limited Time Remaining!,70+ viewed today,1,878 Ratings",One or Three Facials with Microdermabrasion Treatments or Peels at Confidence Beauty Salon & Spa (Up to 67% Off),Midtown Manhattan,New York,"1,878 Ratings",https://www.groupon.com/deals/confidence-beauty-salon-spa-1-10
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,Choose Between Two Options,$22 for one,Brazilian wax with chocolate or sugaring,treatment ($45 value),$64 for three Brazilian waxes with chocolate or sugaring treatments ($135 value),Compositions of cocoa extracts and antioxidants are combined together to formulate into wax. The chocolate treatment acts as an inflammatory agent, designed to make waxing less painful.",Perfect Brows - 139 7th Ave ,"Limited Time Remaining!,80+ viewed today,726 Ratings",One or Three Brazilian Wax or Sugaring Treatments at Perfect Brows - 139 7th Ave (Up to 53% Off),Brooklyn,New York,726 Ratings,https://www.groupon.com/deals/perfect-brows-nyc-3
"Local,Beauty & Spas,Massage,Couples Massage","What You'll Get,Choose from Four Options,$45 for one 50-minute signature massage or facial ($120 value),$55 for one 50-minute specialty deep-tissue or aromatherapy massage ($135 value),$85 for one couples massage or two 50-minute signature massages or facials ($240 value),$95 for one couples massage or two 50-minute specialty deep-tissue or aromatherapy ($270 value)",Red And White Spa,"Limited Time Remaining!,200+ viewed today,279 Ratings",Specialty Massages at Red And White Spa Midtown (Up to 65% Off). 4 Options Available.,Midtown East,New York,279 Ratings,https://www.groupon.com/deals/red-and-white-spa-39-west-56th-street-15
"Local,Personal Services,Electronics Repair,Phone Repair","What You'll Get,See LaptopMD’s deal for,computer and laptop repair services or infrastructure analysis,Choice of:,Glass Screen Repair: iPhone 5/5c/5s,Glass Screen Repair: iPhone 6,Glass Screen Repair: iPhone 6 Plus,Glass Screen Repair: iPhone 6s,Glass Screen Repair: iPhone 6s Plus,Screen Repair: iPad 2, 3, 4, Air 1, Mini 1 and 2",LaptopMD,"Limited Time Remaining!,50+ viewed today,360 Ratings","iPhone 5/5c/5s, 6, 6 Plus, 6s, 6s Plus, iPad 2, 3, 4, Air 1, Mini 1, 2 Screen Repair at LaptopMD (Up to 50% Off)",Midtown Manhattan,New York,360 Ratings,https://www.groupon.com/deals/laptopmd-2
"Local,Beauty & Spas,Face & Skin Care,Facial","What You'll Get,Choose Between Two Options,$45 for one 60-minute facial ($85 value),$59 for one 60-minute facial with microdermabrasion ($125 value)",Green Zen Organic Spa,"Limited Time Remaining!,50+ viewed today,796 Ratings",One 60-Minute Facial with Optional Microdermabrasion at Green Zen Organic Spa (Up to 53% Off),Midtown South Central,New York,796 Ratings,https://www.groupon.com/deals/green-zen-organic-spa-7
"Local,Automotive,Parking,Airport Parking","What You'll Get,Choice of:,3 Days of Airport Parking (EWR),5 Days of Airport Parking (EWR),14 Days of Airport Parking (EWR)",Jiffy Airport Parking,"Limited Time Remaining!,Selling fast!,331 Ratings",Airport Parking at Jiffy Airport Parking (Formerly Newark Liberty Parking) (Up to 33% Off). 3 Options Available.,Jiffy Airport Parking,New York,331 Ratings,https://www.groupon.com/deals/jiffy-airport-parking
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,Eating is necessary for survival, just like sleeping or carving yourself companions out of large pieces of wood. Don’t just survive—thrive with this voucher.,Choose Between Two Options,$15 for $25 worth of Chinese cuisine for two,$30 for $50 worth of Chinese cuisine for four or more,The seasonal,menu,showcases a fresh take on kung pao chicken ($11.25) as well as a grilled szechuan steak panini ($8.50) and stir-fried japanese eggplant and bean curd ($10.75). Counter service is available seven days a week during open hours except Friday and Saturday evenings, when customers may dine in.",Michael and Ping's,"Limited Time Remaining!,30+ viewed today,843 Ratings",Chinese Cuisine at Michael and Ping’s (Up to 40% Off). Two Options Available.,Gowanus,New York,843 Ratings,https://www.groupon.com/deals/michael-and-pings-1
"Local,Beauty & Spas,Salons,Hair Salons","What You'll Get,Choose from Three Options,$29 for a haircut with deep conditioning, blow-dry, and style ($60 value),$75 for partial highlights with the above haircut package ($150 value),$85 for full highlights with the haircut package ($180 value),####Full vs. Partial Highlights: Exploring New Dimension,Highlights can add dimension to an existing style or double the transformative effect of a new one. Read our guide of the process to prepare for your trip to the salon.,A skilled stylist doesn’t need a pair of scissors to transform a hairdo. The precise application of highlights—which isolate select strands of hair and treat them with a color, lightener, or toner—can become the basis for a brand new look without a single snip or shear. Before entering the salon, however, a client has to decide how much of the hair to highlight. Applied evenly throughout the entire head, full highlights create a natural look that mimics the way hair changes color over time in the sun, adding a sense of dimension and texture to the existing hair. Partial highlights, which are typically cheaper and take less time to apply, serve an altogether different purpose: drawing attention to specific features, such as bangs or newly sharpened antlers, by accenting only the locks on the surface. As a result, partial highlights are somewhat less flexible—losing their effect, for example, when putting your hair up or teasing it out.",Nelly Hair & Nail Salon,"Limited Time Remaining!,100+ viewed today,313 Ratings",Haircut and Conditioning with Options for Partial or Full Highlights at Nelly Hair & Nail Salon (Up to 53% Off),Financial District,New York,313 Ratings,https://www.groupon.com/deals/nelly-hair-nail-salon
"Local,Food & Drink,Restaurants,Indian Restaurants","What You'll Get,Choose Between Two Options,$12 for $20 worth of food and drink for 2 or more people,$24 for $40 worth of food and drink for 4 or more people",Mahal Kita Indian Cuisine,"Limited Time Remaining!,20+ viewed today,133 Ratings",Up to 40% Off food and drink at Mahal Kita Indian Cuisine,Williamsburg,New York,133 Ratings,https://www.groupon.com/deals/mahal-kita-indian-cuisine
"Local,Personal Services,Photography,Photographers","What You'll Get,Choose Between Two Options,One professional photography shoot with three high resolution digital images and one standard print ($119.94 value),Three high-resolution digital images,One standard print 10” x 13” or smaller,Free professional photo shoot, no sitting fees,40% off additional prints, wall art, canvas prints and photo collections,Discount to upgrade to the full high-resolution digital album,Pet photography now available. Click,here,for details.,One professional photography shoot with one 16”x20” canvas print ($214.95 value),16”x20” canvas print,Free professional photo shoot, no sitting fees,40% off additional prints, wall art, canvas prints and photo collections,Pet photography now available. Click,here,for details.,Click,here,to find the location nearest you.,Like JCPenney Portraits on Facebook.",JCPenney Portraits,"Limited Time Remaining!,100+ viewed today,181,381 Ratings",Photo Shoot with Three-Image Digital Album and Print or Canvas Print at JCPenney Portraits (Up to 81% Off),Multiple Locations,New York,"181,381 Ratings",https://www.groupon.com/deals/jcpenney-portraits-new-york
"Local,Beauty & Spas,Salons,Hair Salons","What You'll Get,Choose from Three Options,$45 for a haircut, shampoo, and blow-dry ($110value),$55 for a haircut, shampoo, and blow-dry with a botanical conditioning treatment ($140value),$75 for a haircut, shampoo, and blow-dry with a gloss treatment and Aveda Perfecting plant peel ($180value)",Kaya Aveda Salon Spa,"Limited Time Remaining!,60+ viewed today,870 Ratings",Haircut Package with Optional Condition or Gloss Treatment and Plant Peel at Kaya Aveda Salon Spa (Up to 61%Off),New York,New York,870 Ratings,https://www.groupon.com/deals/kaya-stay-beautiful-3
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 30% cash back on your first purchase and 25% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",Shokudo,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 30% Cash Back,25% Cash Back After That",30% Cash Back at Shokudo,Hell's Kitchen,New York,12 Ratings,https://www.groupon.com/deals/shokudo-2079973
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choose from Four Options,$39 for shampoo, conditioner, and blow-dry ($95 value),$75 for a single color or partial highlights with shampoo/conditioner ($195 value),$89 for a haircut, shampoo, and blow-dry ($301 value),$140 for full highlights or balayage, shampoo, and conditioner ($510 value)",Gabriel Shimunov Hair Salon,"Limited Time Remaining!,150+ viewed today,529 Ratings","Blowout, Color, Haircut, or Full Highlights at Gabriel Shimunov Hair Salon (Up to 73% Off)",Multiple Locations,New York,529 Ratings,https://www.groupon.com/deals/gabriel-shimunov-hair-salon-1-4
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose Between Two Options,$45 for Natural Full Set Eyelash Extension: 70-85 Lashes Per Eye ($130 value),$55 for Romantic Full Set Eyelash Extension: 100 Lashes Per Eye ($150 value)",Confidence Beauty Salon & Spa,"Limited Time Remaining!,40+ viewed today,1,878 Ratings",85- or 100-Lash Extension at Confidence Beauty Salon & Spa (Up to 65% Off),Midtown Manhattan,New York,"1,878 Ratings",https://www.groupon.com/deals/confidence-beauty-salon-spa-6-22
"Local,Food & Drink,Restaurants,Asian Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 15% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",VIV Regional Thai Cuisine,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 15% Cash Back,10% Cash Back After That",15% Cash Back at VIV Regional Thai Cuisine,Midtown Manhattan,New York,11 Ratings,https://www.groupon.com/deals/viv-regional-thai-cuisine
"Local,Food & Drink,Restaurants","What You'll Get,Choose Between Two Options,$17.50 for $30 worth of Indian and Nepalese food for dinner for two or more,$36.50 for $60 worth of Indian and Nepalese food for dinner for four or more,Click to see the,menu",Namaste Himalayan Restaurant,"Limited Time Remaining!,30+ viewed today,570 Ratings",Indian and Nepalese Food for Two or Four at Namaste Himalayan Restaurant (Up to 42% Off),Edgewater,New York,570 Ratings,https://www.groupon.com/deals/namaste-himalayan-restaurant
"Local,Food & Drink,Restaurants,Seafood Restaurants","What You'll Get,Choice of:,Lobster Bake for Two, Valid Wednesday and Sunday.,Two lobster bakes, including: whole lobster, steamed clams, baked potato, corn on the cobb,Two cocktails,Two desserts,Lobster Bake for Four, Valid Wednesday and Sunday.,Four lobster bakes, including: whole lobster, steamed clams, baked potato, corn on the cobb,Four cocktails,Four desserts,Lobster bakes are available starting April 19.",Penthouse 808,"Limited Time Remaining!,150+ viewed today,2,399 Ratings","Lobster Bake with Cocktails or Drinks, and Dessert for Two or Four at Penthouse 808 (Up to 45% Off)",Long Island City,New York,"2,399 Ratings",https://www.groupon.com/deals/penthouse-808-4
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choose from Four Options,$29 for one Brazilian wax ($60 value),$55 for two Brazilian waxes ($120 value),$20 for one full leg wax ($40 value),$15 for one full arm wax ($30 value),Hair Growth: It’s Just a Phase,Waxing works because the hair on our body grows differently than the hair on our heads. Check out Groupon’s guide to hair growth to learn the science behind strands.,Hair varies in thickness and length across our body, from the head’s massive jungle to the knuckles’ tiny brambles. But regardless of where it is, each strand of hair cycles through three phases: anagen, also known as the active growth phase; catagen, or transitional phase; and telogen, or resting phase. During the growth phase, a new hair shaft sprouts from a follicle as its cells rapidly divide and grow upward, forming tightly packed bundles rich with keratin protein. Next, the transition phase kicks in for about two to three weeks, during which growth stops and the outer root sheath shrinks, anchoring the hair to the follicle as it enters the final phase. At that point, the follicle lies dormant until the hair is shed and the cycle begins again.,Not all hair grows at the same rate. On the scalp, hair grows about 6 inches per year, with each strand spending about two to six years in the active phase. Meanwhile, hair on the arms, legs, eyelids, and eyebrows actively grows for a much shorter period—only about 30–45 days—and spends more time in the resting phase, which is why waxing these areas helps curb unwanted hair growth. Humans need removal methods such as waxing because we don’t shed our hair all at once like other mammals; our hair-growth cycles are random and staggered, whereas other animals’ cycles are mostly synchronized.",Beauty Spa Zone,"Limited Time Remaining!,20+ viewed today,50 Ratings",One or Two Brazilian Waxes or One Full Leg or Arm Wax at Beauty Spa Zone (Up to 54% Off),New York,New York,50 Ratings,https://www.groupon.com/deals/beauty-spa-zone
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Being able to choose your own hair color is more evidence that we're living in the future we dreamed of—could _flying_ hair be far behind? Get the tresses of tomorrow with this Groupon.,Choose from Three Options,$59 for a haircut and full style with partial highlights (a $150 value),$45 for a haircut and full style with a deep-conditioning treatment (a $140 value),$69 for a haircut and full style with a single-process root touchup (a $190 value)",Hair By Ivana,"Limited Time Remaining!,80+ viewed today,64 Ratings","Haircut and Style with Highlights, Conditioning, or Root Touchup ﻿(Up to 68% Off)",Hair By Ivana (Inside RH Plus Salon),New York,64 Ratings,https://www.groupon.com/deals/ivana-at-fabi-s-hair-studio
"Local,Beauty & Spas,Salons,Hair Salons","What You'll Get,Seeing a stylist is the best way to keep your hair healthy, besides sealing it in a shower cap filled with Robitussin. Heal hair with this voucher.,Choose from Three Options,$43 for a shampoo, haircut, and blow-dry (up to an $85 value),$50 for a shampoo, haircut, blow-dry, and shine glaze (up to a $135 value),$72 for a shampoo, haircut, blow-dry, and shine glaze with color touch-up (up to a $200 value),All services provided by a licensed stylist.",Mai Salon,"Limited Time Remaining!,40+ viewed today,142 Ratings",Haircut and Coloring Packages at Mai Salon (Up to 64% Off). Three Options Available.,Upper West Side,New York,142 Ratings,https://www.groupon.com/deals/mai-salon
"Local,Beauty & Spas,Hair Removal,Waxing","What You'll Get,One Men’s Chocolate Back Waxing,Body Hair: Getting to the Root,Body hair can be unsightly, but it’s all part of a natural process. Read on for a basic overview of this stubborn foe.,Follicle,: the part of the skin that anchors an individual shaft of hair. Each follicle consists of a sebaceous gland, which secretes oil (sebum) to condition the hair and skin, and a few nerve endings at the base that allow hair to carry out one of its main functions: to act as a sensitive touch receptor.,Growth cycles,: during the initial phase of the hair-growth cycle,,anagen,, strands grow up to 0.2 mm per day. This is followed by a,catagen,phase, which lasts two–three weeks, then a,telogen,phase in which hair stops growing. Individual follicles may be at different stages of the cycle at any given time.,Epilation,: the removal of hair from the root. Common methods include tweezing, waxing, laser hair removal, and stapling a tiny eviction notice to every follicle.,Depilation,: the removal of hair from above the skin, usually via shaving or depilation creams, which evolved in the 1930s from formulas used to remove hair from cattle hides.,Jazz bikinis,: the common term for the short skirts worn by flappers in the 1920s—a trend often attributed to the rise of leg shaving as a popular routine.",The Waxing Factory,"Limited Time Remaining!,Up to 40% Off,124 Ratings",$18 for One Men's Chocolate Back Waxing at The Waxing Factory ($30 Value),Upper East Side,New York,124 Ratings,https://www.groupon.com/deals/the-waxing-factory-2
"Local,Beauty & Spas,Hair Removal,Bikini Wax","What You'll Get,Choice of:,One Brazilian Wax,Three Brazilian Waxes,Leg Wax Session,One Leg and Arm Waxing Session,One Eyelash Tinting Session,Two Eyelash Tinting Sessions,Body Hair: Getting to the Root,Body hair can be unsightly, but it’s all part of a natural process. Read on for a basic overview of this stubborn foe.,Follicle,: the part of the skin that anchors an individual shaft of hair. Each follicle consists of a sebaceous gland, which secretes oil (sebum) to condition the hair and skin, and a few nerve endings at the base that allow hair to carry out one of its main functions: to act as a sensitive touch receptor.,Growth cycles,: during the initial phase of the hair-growth cycle,,anagen,, strands grow up to 0.2 mm per day. This is followed by a,catagen,phase, which lasts two–three weeks, then a,telogen,phase in which hair stops growing. Individual follicles may be at different stages of the cycle at any given time.,Epilation,: the removal of hair from the root. Common methods include tweezing, waxing, laser hair removal, and stapling a tiny eviction notice to every follicle.,Depilation,: the removal of hair from above the skin, usually via shaving or depilation creams, which evolved in the 1930s from formulas used to remove hair from cattle hides.,Jazz bikinis,: the common term for the short skirts worn by flappers in the 1920s—a trend often attributed to the rise of leg shaving as a popular routine.",Professional Threading Studio,"Limited Time Remaining!,20+ viewed today,14 Ratings",Body Waxing or Eyelash Tinting at Professional Threading Studio (Up to 63% Off). Six Options Available.,Upper West Side,New York,14 Ratings,https://www.groupon.com/deals/professional-threading-studio-19
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choose from Three Options,$39 for one conditioning treatment, cut, blow dry, and style ($110 value),$69 for one conditioning, and color root treatment package ($190 value),$89 for one set of highlights, conditioning treatment, cut, blow dry, and style ($300 value)",Level 77 Hair Studio,"Limited Time Remaining!,40+ viewed today,151 Ratings",Haircare Packages at Level 77 Hair Studio (Up to 70% Off). Three Options Available.,Manhattan,New York,151 Ratings,https://www.groupon.com/deals/level-77-hair-studio-1-5
"Local,Beauty & Spas,Brows & Lashes,Eyelash Extensions","What You'll Get,Choose Between Two Options,$39 for Real Look Synthetic Silk Eyelash Extensions (Up to 70 Lashes Per Eye) ($125 value),$49 for Natural Look Synthetic Silk Eyelash Extensions (Up to 90 Lashes Per Eye) ($150 value)",Red And White Spa East Village,"Limited Time Remaining!,20+ viewed today,122 Ratings",Real or Natural Look Synthetic Silk Eyelash Extensions at Red And White Spa East Village (Up to 69% Off),Downtown Manhattan,New York,122 Ratings,https://www.groupon.com/deals/red-and-white-spa-48-third-ave-25
"Local,Food & Drink,Restaurants,Italian Restaurants","What You'll Get,Choose Between Two Options,$37 for $60 worth of Italian cuisine for dinner for two or more people,$62 for $100 worth of Italian cuisine for dinner for four or more people,Click here to see the menu",Da Francesco,"Limited Time Remaining!,100+ viewed today,511 Ratings",Italian Cuisine for Dinner for Two or Four at Da Francesco (38% Off),Williamsburg,New York,511 Ratings,https://www.groupon.com/deals/la-piazzetta-ristorante-2
"Local,Beauty & Spas,Hair & Styling,Color & Highlights","What You'll Get,Choice of:,Haircut, Style, and Conditioning Treatment,Cezanne Keratin Treatment",Mark Garrison Salon,"Limited Time Remaining!,150+ viewed today,107 Ratings",Hairstyling Services at Mark Garrison Salon (Up to 50% Off),Lenox Hill,New York,107 Ratings,https://www.groupon.com/deals/mark-garrison-salon
"Local,Food & Drink,Restaurants,Latin American Restaurants","What You'll Get,The Deal,How to use this deal:,Claim this deal by linking it to your eligible credit cards,Pay for qualifying purchases at the merchant with a linked card,Get 20% cash back on your first purchase and 10% cash back on additional purchases, including if the deal is re-claimed,Cash back rewards will be credited to your card statement within a few days",GB Crown Tavern,"Pay Nothing to Claim,No Voucher to Present,1st Purchase 20% Cash Back,10% Cash Back After That",20% Cash Back at GB Crown Tavern,Clinton Hill,New York,1 Ratings,https://www.groupon.com/deals/gb-crown-tavern
"Local,Beauty & Spas,Salons,Hair Salons","What You'll Get,Choose Between Two Options,$29 for Haircut, Conditioning Treatment, and Blowdry ($90 value),$119 for Keratin Treatment, Haircut, Conditioning Treatment, and Blowdry ($475 value),During the treatment, the stylist will apply a keratin formula to your hair and then seal it with a very hot flat-iron. It’s the heat from the iron, along with other chemicals in the keratin formula, that activate the smoothing effect.,Though this merchant sometimes offers a discounted price online, this Groupon is still the best deal available.,Some hair-straightening products that claim to be formaldehyde-free include aldehyde compounds, which are similar to the carcinogen formaldehyde. Side effects may include nosebleeds, headaches, vomiting, and respiratory problems, among others. Learn more about the health risks,here",She Goes To Your Head,"Limited Time Remaining!,100+ viewed today,186 Ratings",Cut and Conditioning with Option for Keratin Treatment at She Goes To Your Head (Up to 75% Off),Astoria,New York,186 Ratings,https://www.groupon.com/deals/she-goes-to-your-head-3
"Local,Beauty & Spas,Massage,Couples Massage","What You'll Get,Massages can offset the effects of slouching in a chair all day or writhing under demonic possession all night. Get help with this voucher.,Choose Between Two Options,$45 for your choice of a 60-minute Swedish, deep-tissue, or chinese tui na massage (a $99 value),$90 for a 60-minute couples massage (a $180 value)",Graceful Services,"Limited Time Remaining!,150+ viewed today,2,391 Ratings","60-Minute Swedish, Deep-Tissue, Tui Na, or Couples Massage at Graceful Services (Up to 55% Off)",New York,New York,"2,391 Ratings",https://www.groupon.com/deals/graceful-services-2
